Year,Collection Per Capita,Library
2014,1.41436,ESCONDIDO PUBLIC LIBRARY
2015,1.32588,ESCONDIDO PUBLIC LIBRARY
2016,1.11833,ESCONDIDO PUBLIC LIBRARY
2017,1.04956,ESCONDIDO PUBLIC LIBRARY
2018,1.00818,ESCONDIDO PUBLIC LIBRARY
2019,0.86703,ESCONDIDO PUBLIC LIBRARY
2010,1.57501,FOLSOM PUBLIC LIBRARY
2011,1.41346,FOLSOM PUBLIC LIBRARY
2012,1.46094,FOLSOM PUBLIC LIBRARY
2013,1.35024,FOLSOM PUBLIC LIBRARY
2014,1.29496,FOLSOM PUBLIC LIBRARY
2015,1.25816,FOLSOM PUBLIC LIBRARY
2016,1.20862,FOLSOM PUBLIC LIBRARY
2017,1.25773,FOLSOM PUBLIC LIBRARY
2018,1.41405,FOLSOM PUBLIC LIBRARY
2019,1.61747,FOLSOM PUBLIC LIBRARY
2010,2.67402,FRESNO COUNTY PUBLIC LIBRARY
2011,2.66699,FRESNO COUNTY PUBLIC LIBRARY
2012,2.62483,FRESNO COUNTY PUBLIC LIBRARY
2013,2.57336,FRESNO COUNTY PUBLIC LIBRARY
2014,2.48781,FRESNO COUNTY PUBLIC LIBRARY
2015,2.10734,FRESNO COUNTY PUBLIC LIBRARY
2016,2.50001,FRESNO COUNTY PUBLIC LIBRARY
2017,1.06584,FRESNO COUNTY PUBLIC LIBRARY
2018,0.99132,FRESNO COUNTY PUBLIC LIBRARY
2019,0.90983,FRESNO COUNTY PUBLIC LIBRARY
2010,1.76752,FULLERTON PUBLIC LIBRARY
2011,1.70224,FULLERTON PUBLIC LIBRARY
2012,1.66918,FULLERTON PUBLIC LIBRARY
2013,1.55487,FULLERTON PUBLIC LIBRARY
2014,1.64347,FULLERTON PUBLIC LIBRARY
2015,1.44133,FULLERTON PUBLIC LIBRARY
2016,1.47044,FULLERTON PUBLIC LIBRARY
2017,1.42872,FULLERTON PUBLIC LIBRARY
2018,1.4966,FULLERTON PUBLIC LIBRARY
2019,1.42313,FULLERTON PUBLIC LIBRARY
2010,3.59966,"GLENDALE LIBRARY, ARTS & CULTURE"
2011,3.10181,"GLENDALE LIBRARY, ARTS & CULTURE"
2012,3.54543,"GLENDALE LIBRARY, ARTS & CULTURE"
2013,3.32702,"GLENDALE LIBRARY, ARTS & CULTURE"
2014,3.11986,"GLENDALE LIBRARY, ARTS & CULTURE"
