Year,Visits Per Capita,Library
2010,2.74137,CORONA PUBLIC LIBRARY
2011,2.5559,CORONA PUBLIC LIBRARY
2012,2.60668,CORONA PUBLIC LIBRARY
2013,2.62715,CORONA PUBLIC LIBRARY
2014,2.60117,CORONA PUBLIC LIBRARY
2015,2.4797,CORONA PUBLIC LIBRARY
2016,2.19158,CORONA PUBLIC LIBRARY
2017,2.21276,CORONA PUBLIC LIBRARY
2018,2.07498,CORONA PUBLIC LIBRARY
2019,1.47199,CORONA PUBLIC LIBRARY
2010,15.99744,CORONADO PUBLIC LIBRARY
2011,15.88071,CORONADO PUBLIC LIBRARY
2012,15.88117,CORONADO PUBLIC LIBRARY
2013,14.28861,CORONADO PUBLIC LIBRARY
2014,13.82342,CORONADO PUBLIC LIBRARY
2015,12.13658,CORONADO PUBLIC LIBRARY
2016,12.92466,CORONADO PUBLIC LIBRARY
2017,12.83785,CORONADO PUBLIC LIBRARY
2018,12.13476,CORONADO PUBLIC LIBRARY
2019,11.43239,CORONADO PUBLIC LIBRARY
2010,4.89374,COVINA PUBLIC LIBRARY
2011,5.00333,COVINA PUBLIC LIBRARY
2012,4.76618,COVINA PUBLIC LIBRARY
2013,4.56877,COVINA PUBLIC LIBRARY
2014,4.22526,COVINA PUBLIC LIBRARY
2015,3.87233,COVINA PUBLIC LIBRARY
2016,3.81182,COVINA PUBLIC LIBRARY
2017,3.86077,COVINA PUBLIC LIBRARY
2018,3.82801,COVINA PUBLIC LIBRARY
2019,2.4645,COVINA PUBLIC LIBRARY
2010,20.30982,CROWELL PUBLIC LIBRARY
2011,18.21023,CROWELL PUBLIC LIBRARY
2012,17.16246,CROWELL PUBLIC LIBRARY
2013,16.94895,CROWELL PUBLIC LIBRARY
2014,16.41539,CROWELL PUBLIC LIBRARY
2015,15.14558,CROWELL PUBLIC LIBRARY
2016,17.97899,CROWELL PUBLIC LIBRARY
2017,18.51725,CROWELL PUBLIC LIBRARY
2018,21.67788,CROWELL PUBLIC LIBRARY
2019,16.25353,CROWELL PUBLIC LIBRARY
2010,4.87696,DALY CITY PUBLIC LIBRARY
2011,4.5864,DALY CITY PUBLIC LIBRARY
2012,4.29713,DALY CITY PUBLIC LIBRARY
2013,4.12645,DALY CITY PUBLIC LIBRARY
2014,4.12029,DALY CITY PUBLIC LIBRARY
2015,4.22399,DALY CITY PUBLIC LIBRARY
2016,3.31872,DALY CITY PUBLIC LIBRARY
2017,2.99143,DALY CITY PUBLIC LIBRARY
2018,2.74102,DALY CITY PUBLIC LIBRARY
2019,1.81601,DALY CITY PUBLIC LIBRARY
2010,4.04942,DEL NORTE COUNTY LIBRARY DISTRICT
2011,4.17503,DEL NORTE COUNTY LIBRARY DISTRICT
2012,,DEL NORTE COUNTY LIBRARY DISTRICT
