Year,Circulation Per Capita,Library
2015,9.07766,CARLSBAD CITY LIBRARY
2016,10.17128,CARLSBAD CITY LIBRARY
2017,10.19262,CARLSBAD CITY LIBRARY
2018,10.00544,CARLSBAD CITY LIBRARY
2019,8.18428,CARLSBAD CITY LIBRARY
2010,14.14971,CERRITOS PUBLIC LIBRARY
2011,13.90011,CERRITOS PUBLIC LIBRARY
2012,0.1637,CERRITOS PUBLIC LIBRARY
2013,0.22565,CERRITOS PUBLIC LIBRARY
2014,0.25092,CERRITOS PUBLIC LIBRARY
2015,10.46885,CERRITOS PUBLIC LIBRARY
2016,8.64755,CERRITOS PUBLIC LIBRARY
2017,7.91102,CERRITOS PUBLIC LIBRARY
2018,7.31094,CERRITOS PUBLIC LIBRARY
2019,5.50574,CERRITOS PUBLIC LIBRARY
2010,3.86557,CHULA VISTA PUBLIC LIBRARY
2011,3.88628,CHULA VISTA PUBLIC LIBRARY
2012,0.0592,CHULA VISTA PUBLIC LIBRARY
2013,0.06945,CHULA VISTA PUBLIC LIBRARY
2014,0.06752,CHULA VISTA PUBLIC LIBRARY
2015,2.68154,CHULA VISTA PUBLIC LIBRARY
2016,2.34885,CHULA VISTA PUBLIC LIBRARY
2017,1.9934,CHULA VISTA PUBLIC LIBRARY
2018,2.57173,CHULA VISTA PUBLIC LIBRARY
2019,1.83759,CHULA VISTA PUBLIC LIBRARY
2010,19.99005,CITY OF COMMERCE PUBLIC LIBRARY
2011,18.27636,CITY OF COMMERCE PUBLIC LIBRARY
2012,,CITY OF COMMERCE PUBLIC LIBRARY
2013,0.06222,CITY OF COMMERCE PUBLIC LIBRARY
2014,0.09954,CITY OF COMMERCE PUBLIC LIBRARY
2015,18.37518,CITY OF COMMERCE PUBLIC LIBRARY
2016,23.92353,CITY OF COMMERCE PUBLIC LIBRARY
2017,13.38188,CITY OF COMMERCE PUBLIC LIBRARY
2018,11.43438,CITY OF COMMERCE PUBLIC LIBRARY
2019,7.25575,CITY OF COMMERCE PUBLIC LIBRARY
2010,2.97425,COALINGA-HURON LIBRARY DISTRICT
2011,3.7004,COALINGA-HURON LIBRARY DISTRICT
2012,0.00324,COALINGA-HURON LIBRARY DISTRICT
2013,0.00388,COALINGA-HURON LIBRARY DISTRICT
2014,0.00134,COALINGA-HURON LIBRARY DISTRICT
2015,2.67804,COALINGA-HURON LIBRARY DISTRICT
2016,1.87761,COALINGA-HURON LIBRARY DISTRICT
2017,1.89442,COALINGA-HURON LIBRARY DISTRICT
2018,1.36794,COALINGA-HURON LIBRARY DISTRICT
2019,1.13009,COALINGA-HURON LIBRARY DISTRICT
2010,1.36815,COLTON PUBLIC LIBRARY
2011,1.39377,COLTON PUBLIC LIBRARY
2012,,COLTON PUBLIC LIBRARY
2013,,COLTON PUBLIC LIBRARY
2014,,COLTON PUBLIC LIBRARY
2015,0.53602,COLTON PUBLIC LIBRARY
2016,0.50337,COLTON PUBLIC LIBRARY
2017,0.49957,COLTON PUBLIC LIBRARY
2018,0.45697,COLTON PUBLIC LIBRARY
2019,0.34423,COLTON PUBLIC LIBRARY
2010,4.74538,COLUSA COUNTY FREE LIBRARY
2011,4.15141,COLUSA COUNTY FREE LIBRARY
2012,0.00512,COLUSA COUNTY FREE LIBRARY
2013,0.00466,COLUSA COUNTY FREE LIBRARY
2014,0.00732,COLUSA COUNTY FREE LIBRARY
2015,3.00424,COLUSA COUNTY FREE LIBRARY
2016,3.69469,COLUSA COUNTY FREE LIBRARY
2017,2.5524,COLUSA COUNTY FREE LIBRARY
2018,3.52869,COLUSA COUNTY FREE LIBRARY
2019,1.60547,COLUSA COUNTY FREE LIBRARY
2010,7.86846,CONTRA COSTA COUNTY LIBRARY
2011,7.79343,CONTRA COSTA COUNTY LIBRARY
2012,0.17477,CONTRA COSTA COUNTY LIBRARY
2013,0.19804,CONTRA COSTA COUNTY LIBRARY
2014,0.20062,CONTRA COSTA COUNTY LIBRARY
2015,5.99351,CONTRA COSTA COUNTY LIBRARY
2016,5.89884,CONTRA COSTA COUNTY LIBRARY
2017,5.70233,CONTRA COSTA COUNTY LIBRARY
2018,6.22821,CONTRA COSTA COUNTY LIBRARY
2019,5.40616,CONTRA COSTA COUNTY LIBRARY
2010,3.02871,CORONA PUBLIC LIBRARY
2011,2.8543,CORONA PUBLIC LIBRARY
2012,0.07739,CORONA PUBLIC LIBRARY
2013,0.0531,CORONA PUBLIC LIBRARY
2014,0.05903,CORONA PUBLIC LIBRARY
2015,2.09347,CORONA PUBLIC LIBRARY
2016,2.25513,CORONA PUBLIC LIBRARY
2017,2.10836,CORONA PUBLIC LIBRARY
2018,2.0332,CORONA PUBLIC LIBRARY
2019,1.84624,CORONA PUBLIC LIBRARY
2010,15.4321,CORONADO PUBLIC LIBRARY
2011,15.19218,CORONADO PUBLIC LIBRARY
2012,0.13518,CORONADO PUBLIC LIBRARY
2013,0.17353,CORONADO PUBLIC LIBRARY
2014,0.25195,CORONADO PUBLIC LIBRARY
2015,11.33012,CORONADO PUBLIC LIBRARY
2016,9.59072,CORONADO PUBLIC LIBRARY
2017,10.71448,CORONADO PUBLIC LIBRARY
2018,10.16141,CORONADO PUBLIC LIBRARY
2019,11.78514,CORONADO PUBLIC LIBRARY
2010,3.29403,COVINA PUBLIC LIBRARY
2011,3.03989,COVINA PUBLIC LIBRARY
2012,,COVINA PUBLIC LIBRARY
2013,,COVINA PUBLIC LIBRARY
2014,,COVINA PUBLIC LIBRARY
2015,2.15806,COVINA PUBLIC LIBRARY
2016,2.12744,COVINA PUBLIC LIBRARY
2017,2.21181,COVINA PUBLIC LIBRARY
2018,2.21587,COVINA PUBLIC LIBRARY
2019,1.56731,COVINA PUBLIC LIBRARY
2010,18.16587,CROWELL PUBLIC LIBRARY
2011,18.76878,CROWELL PUBLIC LIBRARY
2012,0.21418,CROWELL PUBLIC LIBRARY
2013,0.37149,CROWELL PUBLIC LIBRARY
2014,0.38378,CROWELL PUBLIC LIBRARY
2015,20.10165,CROWELL PUBLIC LIBRARY
2016,19.49647,CROWELL PUBLIC LIBRARY
2017,18.78112,CROWELL PUBLIC LIBRARY
2018,18.30512,CROWELL PUBLIC LIBRARY
2019,13.82563,CROWELL PUBLIC LIBRARY
2010,6.03776,DALY CITY PUBLIC LIBRARY
2011,5.21461,DALY CITY PUBLIC LIBRARY
2012,0.34733,DALY CITY PUBLIC LIBRARY
2013,0.32256,DALY CITY PUBLIC LIBRARY
2014,0.32105,DALY CITY PUBLIC LIBRARY
2015,4.5557,DALY CITY PUBLIC LIBRARY
2016,3.93922,DALY CITY PUBLIC LIBRARY
2017,3.69633,DALY CITY PUBLIC LIBRARY
2018,3.93667,DALY CITY PUBLIC LIBRARY
2019,3.12523,DALY CITY PUBLIC LIBRARY
2010,2.21204,DEL NORTE COUNTY LIBRARY DISTRICT
2011,2.1852,DEL NORTE COUNTY LIBRARY DISTRICT
2012,,DEL NORTE COUNTY LIBRARY DISTRICT
2013,-4e-05,DEL NORTE COUNTY LIBRARY DISTRICT
2014,,DEL NORTE COUNTY LIBRARY DISTRICT
2015,,DEL NORTE COUNTY LIBRARY DISTRICT
2016,1.54299,DEL NORTE COUNTY LIBRARY DISTRICT
2017,1.75725,DEL NORTE COUNTY LIBRARY DISTRICT
2018,1.75096,DEL NORTE COUNTY LIBRARY DISTRICT
2019,-4e-05,DEL NORTE COUNTY LIBRARY DISTRICT
2010,21.32891,DIXON PUBLIC LIBRARY DISTRICT
2011,3.09425,DIXON PUBLIC LIBRARY DISTRICT
2012,0.02547,DIXON PUBLIC LIBRARY DISTRICT
2013,0.03935,DIXON PUBLIC LIBRARY DISTRICT
2014,0.04266,DIXON PUBLIC LIBRARY DISTRICT
2015,2.60708,DIXON PUBLIC LIBRARY DISTRICT
2016,2.19809,DIXON PUBLIC LIBRARY DISTRICT
2017,2.12874,DIXON PUBLIC LIBRARY DISTRICT
2018,2.05299,DIXON PUBLIC LIBRARY DISTRICT
2019,-4e-05,DIXON PUBLIC LIBRARY DISTRICT
2010,3.94605,DOWNEY CITY LIBRARY
2011,3.93578,DOWNEY CITY LIBRARY
2012,0.00072,DOWNEY CITY LIBRARY
2013,0.02453,DOWNEY CITY LIBRARY
2014,0.03891,DOWNEY CITY LIBRARY
2015,3.24499,DOWNEY CITY LIBRARY
2016,2.83976,DOWNEY CITY LIBRARY
2017,2.63009,DOWNEY CITY LIBRARY
2018,1.84581,DOWNEY CITY LIBRARY
2019,0.33008,DOWNEY CITY LIBRARY
2010,0.399,EL CENTRO PUBLIC LIBRARY
2011,,EL CENTRO PUBLIC LIBRARY
2012,,EL CENTRO PUBLIC LIBRARY
2013,,EL CENTRO PUBLIC LIBRARY
2014,,EL CENTRO PUBLIC LIBRARY
2015,0.99307,EL CENTRO PUBLIC LIBRARY
2016,1.0156,EL CENTRO PUBLIC LIBRARY
2017,0.86505,EL CENTRO PUBLIC LIBRARY
2018,0.96156,EL CENTRO PUBLIC LIBRARY
2019,0.50851,EL CENTRO PUBLIC LIBRARY
2010,4.87148,EL DORADO COUNTY LIBRARY
2011,4.86545,EL DORADO COUNTY LIBRARY
2012,0.0965,EL DORADO COUNTY LIBRARY
2013,0.1632,EL DORADO COUNTY LIBRARY
2014,0.196,EL DORADO COUNTY LIBRARY
2015,4.5893,EL DORADO COUNTY LIBRARY
2016,4.32042,EL DORADO COUNTY LIBRARY
2017,4.23334,EL DORADO COUNTY LIBRARY
2018,4.2548,EL DORADO COUNTY LIBRARY
2019,3.43375,EL DORADO COUNTY LIBRARY
2010,12.77502,EL SEGUNDO PUBLIC LIBRARY
2011,12.79844,EL SEGUNDO PUBLIC LIBRARY
2012,0.18079,EL SEGUNDO PUBLIC LIBRARY
