Year,Expense Per Capita,Library
2019,308.30145,CITY OF COMMERCE PUBLIC LIBRARY
2010,37.72249,COALINGA-HURON LIBRARY DISTRICT
2011,40.26819,COALINGA-HURON LIBRARY DISTRICT
2012,33.45648,COALINGA-HURON LIBRARY DISTRICT
2013,40.97143,COALINGA-HURON LIBRARY DISTRICT
2014,38.60845,COALINGA-HURON LIBRARY DISTRICT
2015,39.10643,COALINGA-HURON LIBRARY DISTRICT
2016,37.78281,COALINGA-HURON LIBRARY DISTRICT
2017,36.22594,COALINGA-HURON LIBRARY DISTRICT
2018,33.84836,COALINGA-HURON LIBRARY DISTRICT
2019,41.81925,COALINGA-HURON LIBRARY DISTRICT
2010,4.06715,COLTON PUBLIC LIBRARY
2011,3.94259,COLTON PUBLIC LIBRARY
2012,4.56396,COLTON PUBLIC LIBRARY
2013,4.06542,COLTON PUBLIC LIBRARY
2014,4.8552,COLTON PUBLIC LIBRARY
2015,4.78265,COLTON PUBLIC LIBRARY
2016,6.54763,COLTON PUBLIC LIBRARY
2017,6.28732,COLTON PUBLIC LIBRARY
2018,6.54367,COLTON PUBLIC LIBRARY
2019,6.60128,COLTON PUBLIC LIBRARY
2010,34.1839,COLUSA COUNTY FREE LIBRARY
2011,38.21162,COLUSA COUNTY FREE LIBRARY
2012,39.79076,COLUSA COUNTY FREE LIBRARY
2013,50.07202,COLUSA COUNTY FREE LIBRARY
2014,56.86327,COLUSA COUNTY FREE LIBRARY
2015,45.29866,COLUSA COUNTY FREE LIBRARY
2016,61.85578,COLUSA COUNTY FREE LIBRARY
2017,45.62861,COLUSA COUNTY FREE LIBRARY
2018,43.4332,COLUSA COUNTY FREE LIBRARY
2019,50.37143,COLUSA COUNTY FREE LIBRARY
2010,24.33091,CONTRA COSTA COUNTY LIBRARY
2011,24.48047,CONTRA COSTA COUNTY LIBRARY
2012,24.56858,CONTRA COSTA COUNTY LIBRARY
2013,24.17871,CONTRA COSTA COUNTY LIBRARY
2014,25.16752,CONTRA COSTA COUNTY LIBRARY
2015,25.35539,CONTRA COSTA COUNTY LIBRARY
2016,27.43264,CONTRA COSTA COUNTY LIBRARY
2017,27.96578,CONTRA COSTA COUNTY LIBRARY
2018,31.30621,CONTRA COSTA COUNTY LIBRARY
2019,34.06865,CONTRA COSTA COUNTY LIBRARY
2010,17.15559,CORONA PUBLIC LIBRARY
2011,16.81676,CORONA PUBLIC LIBRARY
2012,15.51829,CORONA PUBLIC LIBRARY
2013,15.49179,CORONA PUBLIC LIBRARY
2014,16.24065,CORONA PUBLIC LIBRARY
2015,15.41845,CORONA PUBLIC LIBRARY
2016,13.42517,CORONA PUBLIC LIBRARY
2017,17.08914,CORONA PUBLIC LIBRARY
2018,18.73598,CORONA PUBLIC LIBRARY
2019,18.01909,CORONA PUBLIC LIBRARY
2010,103.52075,CORONADO PUBLIC LIBRARY
2011,105.88964,CORONADO PUBLIC LIBRARY
2012,129.35696,CORONADO PUBLIC LIBRARY
2013,103.42115,CORONADO PUBLIC LIBRARY
2014,112.81125,CORONADO PUBLIC LIBRARY
2015,110.35216,CORONADO PUBLIC LIBRARY
2016,122.81477,CORONADO PUBLIC LIBRARY
2017,130.65692,CORONADO PUBLIC LIBRARY
2018,136.77598,CORONADO PUBLIC LIBRARY
2019,132.03232,CORONADO PUBLIC LIBRARY
2010,19.54549,COVINA PUBLIC LIBRARY
2011,19.33663,COVINA PUBLIC LIBRARY
2012,24.47637,COVINA PUBLIC LIBRARY
2013,26.25776,COVINA PUBLIC LIBRARY
2014,26.85578,COVINA PUBLIC LIBRARY
2015,15.65052,COVINA PUBLIC LIBRARY
2016,15.15662,COVINA PUBLIC LIBRARY
2017,19.29311,COVINA PUBLIC LIBRARY
2018,19.64784,COVINA PUBLIC LIBRARY
2019,18.19248,COVINA PUBLIC LIBRARY
2010,106.62738,CROWELL PUBLIC LIBRARY
2011,99.22933,CROWELL PUBLIC LIBRARY
2012,98.56893,CROWELL PUBLIC LIBRARY
2013,103.44449,CROWELL PUBLIC LIBRARY
2014,103.01685,CROWELL PUBLIC LIBRARY
2015,112.1172,CROWELL PUBLIC LIBRARY
2016,119.94535,CROWELL PUBLIC LIBRARY
2017,114.75414,CROWELL PUBLIC LIBRARY
2018,107.65616,CROWELL PUBLIC LIBRARY
2019,109.27623,CROWELL PUBLIC LIBRARY
2010,35.69216,DALY CITY PUBLIC LIBRARY
2011,31.46899,DALY CITY PUBLIC LIBRARY
2012,30.56525,DALY CITY PUBLIC LIBRARY
2013,29.17171,DALY CITY PUBLIC LIBRARY
2014,29.72287,DALY CITY PUBLIC LIBRARY
2015,30.00167,DALY CITY PUBLIC LIBRARY
2016,30.82214,DALY CITY PUBLIC LIBRARY
2017,30.61775,DALY CITY PUBLIC LIBRARY
2018,33.63605,DALY CITY PUBLIC LIBRARY
2019,34.77275,DALY CITY PUBLIC LIBRARY
2010,8.62531,DEL NORTE COUNTY LIBRARY DISTRICT
2011,8.44708,DEL NORTE COUNTY LIBRARY DISTRICT
2012,,DEL NORTE COUNTY LIBRARY DISTRICT
2013,4.21794,DEL NORTE COUNTY LIBRARY DISTRICT
2014,2.43998,DEL NORTE COUNTY LIBRARY DISTRICT
2015,,DEL NORTE COUNTY LIBRARY DISTRICT
2016,8.44278,DEL NORTE COUNTY LIBRARY DISTRICT
2017,9.63892,DEL NORTE COUNTY LIBRARY DISTRICT
2018,8.25849,DEL NORTE COUNTY LIBRARY DISTRICT
2019,12.00996,DEL NORTE COUNTY LIBRARY DISTRICT
2010,34.27882,DIXON PUBLIC LIBRARY DISTRICT
2011,35.09641,DIXON PUBLIC LIBRARY DISTRICT
2012,30.75606,DIXON PUBLIC LIBRARY DISTRICT
2013,23.17036,DIXON PUBLIC LIBRARY DISTRICT
2014,22.54899,DIXON PUBLIC LIBRARY DISTRICT
2015,36.98679,DIXON PUBLIC LIBRARY DISTRICT
2016,40.85718,DIXON PUBLIC LIBRARY DISTRICT
2017,39.74885,DIXON PUBLIC LIBRARY DISTRICT
2018,42.12476,DIXON PUBLIC LIBRARY DISTRICT
2019,,DIXON PUBLIC LIBRARY DISTRICT
2010,17.48318,DOWNEY CITY LIBRARY
2011,17.86709,DOWNEY CITY LIBRARY
2012,15.6135,DOWNEY CITY LIBRARY
2013,14.10263,DOWNEY CITY LIBRARY
2014,14.97135,DOWNEY CITY LIBRARY
2015,15.23221,DOWNEY CITY LIBRARY
2016,16.63549,DOWNEY CITY LIBRARY
2017,18.2249,DOWNEY CITY LIBRARY
2018,19.4447,DOWNEY CITY LIBRARY
2019,17.57631,DOWNEY CITY LIBRARY
2010,11.56547,EL CENTRO PUBLIC LIBRARY
2011,,EL CENTRO PUBLIC LIBRARY
2012,13.59524,EL CENTRO PUBLIC LIBRARY
2013,14.70926,EL CENTRO PUBLIC LIBRARY
2014,9.74533,EL CENTRO PUBLIC LIBRARY
2015,14.52114,EL CENTRO PUBLIC LIBRARY
2016,15.74101,EL CENTRO PUBLIC LIBRARY
2017,15.25424,EL CENTRO PUBLIC LIBRARY
2018,15.96491,EL CENTRO PUBLIC LIBRARY
2019,13.29901,EL CENTRO PUBLIC LIBRARY
2010,18.27539,EL DORADO COUNTY LIBRARY
2011,18.51641,EL DORADO COUNTY LIBRARY
2012,17.7803,EL DORADO COUNTY LIBRARY
2013,18.40845,EL DORADO COUNTY LIBRARY
2014,18.38328,EL DORADO COUNTY LIBRARY
2015,18.48961,EL DORADO COUNTY LIBRARY
2016,18.53637,EL DORADO COUNTY LIBRARY
2017,18.9747,EL DORADO COUNTY LIBRARY
2018,18.79445,EL DORADO COUNTY LIBRARY
2019,20.85166,EL DORADO COUNTY LIBRARY
2010,141.75545,EL SEGUNDO PUBLIC LIBRARY
2011,137.18319,EL SEGUNDO PUBLIC LIBRARY
2012,135.14044,EL SEGUNDO PUBLIC LIBRARY
2013,138.16062,EL SEGUNDO PUBLIC LIBRARY
2014,132.14512,EL SEGUNDO PUBLIC LIBRARY
2015,127.59221,EL SEGUNDO PUBLIC LIBRARY
2016,147.32572,EL SEGUNDO PUBLIC LIBRARY
2017,127.86743,EL SEGUNDO PUBLIC LIBRARY
2018,137.57746,EL SEGUNDO PUBLIC LIBRARY
2019,139.07349,EL SEGUNDO PUBLIC LIBRARY
2010,19.42945,ESCONDIDO PUBLIC LIBRARY
2011,18.4577,ESCONDIDO PUBLIC LIBRARY
2012,16.78223,ESCONDIDO PUBLIC LIBRARY
2013,19.7955,ESCONDIDO PUBLIC LIBRARY
2014,19.77523,ESCONDIDO PUBLIC LIBRARY
2015,25.46027,ESCONDIDO PUBLIC LIBRARY
2016,24.70589,ESCONDIDO PUBLIC LIBRARY
2017,13.0646,ESCONDIDO PUBLIC LIBRARY
2018,14.06663,ESCONDIDO PUBLIC LIBRARY
2019,17.55225,ESCONDIDO PUBLIC LIBRARY
2010,19.41573,FOLSOM PUBLIC LIBRARY
2011,18.00146,FOLSOM PUBLIC LIBRARY
2012,17.52459,FOLSOM PUBLIC LIBRARY
2013,19.42066,FOLSOM PUBLIC LIBRARY
2014,19.04738,FOLSOM PUBLIC LIBRARY
